Primary Authority	Organisation Name	Partnership Type	Regulatory Functions
North Yorkshire County Council	1st Galaxy Fireworks Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	247 Home Furnishings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	AB Agri	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	A B Gee of Ripley Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Ableworld (UK) Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warwick District Council	ABM Catering Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	Abokado	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	A. CAMACHO, U.K. LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Accent Corporate Services Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	Accor UK	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Acer UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Acorn Mobility Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wakefield Council	Acropolis	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	Adactus Housing Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Addcore Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Adelie Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Adventure Centers Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Adventure Centers Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	AF Blakemore and Son Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	A Game To Train Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Agenta Education Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Agriculture and Horticulture Development Board	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Alan Bartlett & Sons (Chatteris) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Cambridgeshire District Council	Aldi Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Cambridgeshire District Council	Aldi Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Aldi Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire Fire & Rescue Service	Aldi Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	ALF (Aquatic Distributors.) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Alfred Franks and Bartlett PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Alpha La Roche Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Manchester City Council	Alpha LSG Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Alpkit Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex County Council	Alstons (Upholstery) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cannock Chase District Council	Amazon UK Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	Amazon UK Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Amazon UK Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lancashire Fire & Rescue Service	Amber Taverns Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warwickshire County Council	Amber UPVC Fabrications Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	AMOR BEVERAGES LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Anchor Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Exeter City Council	Andrew Brownsword Hotels	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Andrew Brownsword Hotels	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Andros UK	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Monmouthshire County Council	Aneurin Bevan Health Board	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Anglian Water Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Anglian Water Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Anker	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	Ann Summers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Ann Summers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Anpario plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Apetito Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warrington Borough Council	Appliance365 Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Approved Letting Scheme Ltd t/a National Approved Letting Scheme )NALS)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Aquadistri	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Aqua Italia Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Aqualisa Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Arabian Oud Company Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Arcadia Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Ariat Europe Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Arla Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Armitages Pet Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Glasgow City Council	Arnold Clark Automobiles Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	ARRIS Global Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Arthauss	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wrexham County Borough Council	Arthur Chatwins Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	Artist Residence Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Artsana UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Sussex County Council	Arun Estate Agencies Ltd t/a Arun Land and New Homes, Cubitt & West, Douglas Allen, Pittis, Rooney & Co, Ward & Partners	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Asco Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Asda Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wakefield Council	Asda Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wakefield Council	Asda Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Asda Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Asda Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	ASHLEIGH AND BURWOOD LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Worcestershire Regulatory Services	Aspens Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Aspire Drinks Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	asra Housing Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Association of British Bookmakers Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bridgend County Borough Council	Association of Convenience Stores Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bridgend County Borough Council	Association of Convenience Stores Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Woking Borough Council	Association of Convenience Stores Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Association of Interactive Media & Entertainment Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Assurity Consulting	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Dorset & Wiltshire Fire and Rescue Service	Aster Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Aston Manor Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Auto 100	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Autodata Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Avis Budget UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	BabyStyle UK Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	bacta	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	Bakery Bagietka Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Bakkavor Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Bapchild Motoring World (Kent) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Northamptonshire Council	Barchester Healthcare Homes Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lancashire Fire & Rescue Service	Barchester Healthcare Homes Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Barclays Bank	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Barmans Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Peterborough City Council	Barnack Confectionery Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Barracudos Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Bathstore	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Bathstore.com Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	BaxterStorey Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	BBI Healthcare Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Borough of Greenwich	Beaumont Beds Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Beauty Leisure Industry Supplies & Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Coventry City Council	Beckett's Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bedfordshire Fire & Rescue Service	Bedford Pilgrims Housing Association	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Beechdean Dairies	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	Beeswift Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cumbria County Council	Bells of Lazonby Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Benugo Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Bernard Matthews Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Best imports Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Bestway Cash & Carry Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wrexham County Borough Council	Betsi Cadwaladr University Health Board	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Harrogate Borough Council	Bettys and Taylors of Harrogate Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Bettys and Taylors of Harrogate Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Beviamo Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wycombe District Council	BFS Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	BFS Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Biddenden Vineyards Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wycombe District Council	Bidvest Fresh	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Biffa Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Black and Decker	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Black Cat Fireworks Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Blackfriars Bakery	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Black Hex Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bristol City Council	Blanc Brasseries Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Blue Diamond	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
